source_id,source_name,source_type,agency_or_org,subagency,jurisdiction,federal_or_state_or_private,state_if_applicable,url,monitoring_method,scraper_difficulty,robots_or_terms_risk,native_relevance,eligibility_classes,federal_recognition_required,state_recognition_supported,software_cost_allowability,program_examples,deadline_pattern,update_frequency,data_format,has_api,has_rss_or_email,requires_login,notes,priority_tier,registry_status,monitoring_status,terms_status,state_scope_status,eligibility_status,allowability_status,activation_blocked_reasons
FED-SAM-AL,SAM.gov Assistance Listings,program_catalog,GSA,SAM.gov,United States,federal,,https://sam.gov/content/assistance-listings,search endpoint monitor,medium,TERMS_REVIEW_REQUIRED,High,All classes; listing controls,Varies,Varies,Unclear,Assistance Listings,Annual/ongoing,Weekly,HTML/JSON,UNKNOWN,Yes,No,Program catalog not open-opportunity feed [research lane: seed-v1],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
SAM-GOV-ASSISTANCE-LISTINGS-BA260C,SAM.gov Assistance Listings and bulk data,ALN registry / bulk data,GSA,Integrated Award Environment,federal,federal,,https://sam.gov/content/assistance-listings,API monitor,med,TERMS_REVIEW_REQUIRED,native-eligible-among-others,all classes per listing (ET-codes),per listing,per listing,UNKNOWN,authoritative ALN source for every program row,continuous,continuous,HTML + bulk data files + annual PDF catalogs 2008-2025,UNKNOWN (data-services path exists),yes,no for public data,"Bulk path sam.gov/data-services/Assistance%20Listings?privacy=Public. Site posts a CUI and subject-to-monitoring warning and its terms prohibit automated data gathering and web scraping tools with account denial as the stated consequence - use the keyed API, never scrape. Resolve ALNs here at scale rather than off dozens of program pages [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:no for public data;monitoring_not_started
SAM-GOV-ASSISTANCE-LISTINGS-4DBA70,SAM.gov Assistance Listings API,api,GSA,SAM.gov,federal,federal,,https://api.sam.gov/assistance-listings/v1/search,API monitor,low,TERMS_REVIEW_REQUIRED,very_high,"ET23010,ET23020,ET23030,ET26040,ET11010,ET12010",ET23010,ET23020,n/a,all ALN/CFDA programs,n/a,not_documented,JSON,yes,no,yes_for_key,"RATE LIMIT IS THE BINDING CONSTRAINT: non-federal user with NO role = 10 requests/DAY; WITH a role = 1,000/day. Get a role. Verified tribal codes ET23010 (fed-recognized), ET23020 (other than fed-recognized), ET23030 (Tribally Designated Housing Authority), ET26040 (Tribal); plus ET11010 Unrestricted and ET12010 ""Determined at NOFO Level"" which hide tribal eligibility. TERMS PROHIBIT SCRAPING OUTRIGHT: ""Automated data gathering, web scraping tools are prohibited and… will result in the associated account(s) being denied access."" API only. Rotate key every 90 days. No bulk file could be verified. [research lane: API/monitoring layer; Research funding]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:yes_for_key;monitoring_not_started
HHS-SAMHSA,SAMHSA Grants,agency_grant_page,HHS,SAMHSA,United States,federal,,https://www.samhsa.gov/grants,static HTML page monitor,low,OK,High,Tribes; tribal orgs; nonprofits; states/localities; NOFO controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Behavioral health; tribal opioid response,Recurring,Daily,HTML/PDF,No,Yes,No,[research lane: seed-v1],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
SIMPLER-GRANTS-GOV-API-485D8E,Simpler.Grants.gov API,api,HHS,Simpler.Grants.gov,federal,federal,,https://api.simpler.grants.gov,API monitor,low,OK,very_high,applicant_type enum (tribal value NOT documented),Varies,Varies,Sometimes allowable depending on NOFO/budget category,all federal discretionary,per_opportunity,search_cache_hourly,"JSON,CSV",yes,no,yes_for_key_issuance,"X-API-Key via Login.gov self-service; 60/min + 10k/day; keys auto-disable after 30 days unused; search caps at 10,000 results; attachments only via GET-by-id; EARLY DEVELOPMENT - subject to change; MUST recover tribal applicant_type enum from live Swagger [research lane: API/monitoring layer] Alternate/legacy URL seen: https://simpler.grants.gov/developers.",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,requires_login:yes_for_key_issuance;monitoring_not_started
SIMPLER-GRANTS-GOV-EXTRACTS-92CF68,Simpler.Grants.gov Extracts,bulk_file,HHS,Simpler.Grants.gov,federal,federal,,https://api.simpler.grants.gov/v1/extracts,API monitor,low,OK,very_high,same_as_search,UNKNOWN,UNKNOWN,UNKNOWN,all,NA,daily_inferred,"JSON,CSV",yes,no,yes_for_key,POST returns metadata + presigned S3 download_url (download may not need key); official guidance: use for full-corpus pulls [research lane: API/monitoring layer],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,requires_login:yes_for_key;monitoring_not_started
CISA-SLCGP,State and Local Cybersecurity Grant Program,pass_through_program,DHS,CISA/FEMA,United States,federal,,https://www.cisa.gov/cybergrants/slcgp,static HTML page monitor,low,OK,High,State prime recipients; local/tribal subrecipient routes vary,Varies,Varies,Likely allowable,Cybersecurity plans projects tools,Annual/round,Monthly,HTML/PDF,No,Yes,No,Instantiate state route [research lane: seed-v1],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
FEMA-THSGP,Tribal Homeland Security Grant Program,program_page,DHS,FEMA,United States,federal,,https://www.fema.gov/grants/preparedness/tribal-homeland-security,PDF/NOFO page monitor,low,OK,Very high,Federally recognized tribes meeting statutory criteria,Yes,No,Sometimes allowable depending on NOFO/budget category,THSGP,Annual,Weekly,HTML/PDF,No,Yes,No,[research lane: seed-v1],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
TRIBAL-HOMELAND-SECURITY-GRA-C7317E,Tribal Homeland Security Grant Program (THSGP),grant program,DHS,FEMA Grant Programs Directorate,federal,federal,,https://www.fema.gov/grants/preparedness/tribal-homeland-security,PDF/NOFO page monitor,high,OK,very high,tribal-government,UNKNOWN,UNKNOWN,unclear,terrorism/all-hazards preparedness core capabilities,annual; latest published NOFO is FY2025,annual,HTML (renders w/o dates or file links),no,no,no,"Tribal-specific and DIRECT, not state pass-through. FY25 $13.5M; FY24 $13.5M; FY23 $15M; FY22 $15M; FY21 $15M. No FY2026 NOFO on page as of 2026-08-24. Federal-recognition test NOT stated on rendered page - statute uses ""directly eligible tribe""; verify against FY25 NOFO PDF before shipping eligibility logic. [research lane: DOJ/DHS/ED/DOL/SBA]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
TTP-SAFETY-FUND-TTPSF-D21956,TTP Safety Fund (TTPSF),program,DOT,FHWA Office of Tribal Transportation,national,federal,,https://highways.dot.gov/federal-lands/tribal/safety/funds,PDF/NOFO page monitor,low,OK,native-exclusive,"federally-recognized-tribe, tribal-government",yes,no,sometimes-allowable-depends-on-NOFO,transportation safety plans; road safety audits; safety projects reducing fatal/serious injuries,"annual recurring: deadline ~mid-January (2026 deadline was 1/15/2026), awards announced ~March (FY2025 awards announced 2026-03-19)",annual cycle; page updated 2026-03-19,HTML + PDF NOFO,no,GovDelivery USDOTFHWA_83,no,"4% set-aside of available TTP funds under IIJA; competitive/discretionary. Operating NOFO is multi-year: ""2022–2026 TTPSF — Amendment No. 2"" — monitor for new amendment numbers rather than new NOFOs. Applications NOT via Grants.gov: email TTPSF@dot.gov for an upload link. Contact: Adam Larsen. Safety plans (planning) explicitly eligible; data systems unclear. [research lane: DOE/EPA/DOT]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
USDA-FNA-FORMERLY-FNS-FDPIR-9B6D21,USDA FNA (formerly FNS) FDPIR,program page,USDA,FNA (ex-FNS),national,federal,,https://www.fna.usda.gov/fdpir,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,exclusive,tribal-organization;federally-recognized-tribe;tribal-government;state-or-local-govt-serving-natives;native-individual,likely yes for ITOs,UNKNOWN,"likely-allowable - VERIFIED ""USDA distributes both food and administrative funds to participating Indian Tribal Organizations and state agencies""",FDPIR; FY2026 FDPIR Nutrition Education Grant at /grants/fdpir/nutrition-education-2026,"ongoing administering-agency arrangement, not competitive",continuous What's New,HTML,no,YES - RSS + GovDelivery USFNS,no,"AGENCY RENAMED: fns.usda.gov/fdpir 302s to fna.usda.gov/fdpir. Re-point ALL fns.usda.gov URLs. Body date stamp unreliable (says May 2025, lists 2026 items) - diff content not dates [research lane: USDA/HUD/Commerce]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-FNA-FDPIR-SELF-DETERMIN-69D5C6,USDA FNA FDPIR Self-Determination Demonstration Project,program page,USDA,FNA (ex-FNS),national,federal,,https://www.fna.usda.gov/fdpir/self-determination,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,exclusive,tribal-organization;federally-recognized-tribe;tribal-government;native-owned-business,yes (ISDEAA sec.4 self-determination contracts),appears excluded,unclear,Round 1 ~$7.0M (from Oct 2021); Round 2 $4.4M (from Aug 2023),ROUNDS - both winding down through 2026. Round 3 existence UNKNOWN - do NOT present as open,updated 2026-02-19,HTML + tables,no,yes (RSS policy-memo-fdp),no,"2018 Farm Bill authority. 15 participating Tribes named. BONUS: names ~20 Native-owned vendors (Ramona Farms, Quinault Pride Seafood, Choctaw Fresh, 1839 Cherokee Meat Co) = seed data for native-owned-business registry [research lane: USDA/HUD/Commerce]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-FNA-RSS-FEEDS-8-FEEDS-I-89D82C,USDA FNA RSS Feeds (8 feeds incl. FDPIR policy memos),RSS feed set,USDA,FNA (ex-FNS),national,federal,,https://www.fna.usda.gov/rss-feeds,RSS/feed monitor,low,TERMS_REVIEW_REQUIRED,high,tribal-organization;federally-recognized-tribe;state-or-local-govt-serving-natives,varies,varies,unclear,/rss-feeds/policy-memo-fdp (INCLUDES FDPIR); /rss-feeds/federal-register; /rss-feeds/newsroom,n/a - feeds,as issued; index updated 2026-06-02,RSS XML,no,yes (RSS + GovDelivery USFNS),no,VERIFIED index page listing 8 feeds. policy-memo-fdp explicitly includes FDPIR per page text. Individual feed XML NOT separately fetched. Best structured feed set in scope [research lane: USDA/HUD/Commerce],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-NOFO-LIST-RFA-LIST-0689AF,USDA NIFA NOFO List (RFA List),funding index,USDA,NIFA,national,federal,,https://www.nifa.usda.gov/rfa-list,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,medium,tribal-college-or-BIE-school;federally-recognized-tribe;native-nonprofit,varies,varies,varies,all NIFA NOFOs,continuous,weekly,HTML,no,yes (GovDelivery USDANIFA),no,URL from verified NIFA nav; not fetched. Pair with /grants/funding-opportunities search. Structured metadata makes NIFA highest scraper ROI in scope [research lane: USDA/HUD/Commerce],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-RFA-LIST-201A26,USDA NIFA RFA List,html-index,USDA,NIFA,federal,federal,,https://www.nifa.usda.gov/grants/request-for-application-list-rfa,static HTML page monitor,low (blocked on faceted URLs),TERMS_REVIEW_REQUIRED,high,tribal-college (1994 Land-grant),YES (via statutory 1994 list),no,sometimes-allowable-depends-on-NOFO,"TCEG (open, closes Oct 7 2026), TCRGP, TCEP-CA, TCEP-SE, NBTS, FRTEP",per-program; TCRGP is PHASED,~95 NOFOs; TCEG posted Aug 24 2026,HTML + PDF,no,yes (GovDelivery),no,"robots.txt ""Disallow: /*?*"" kills ALL query-string URLs — faceted search and pagination are off-limits. Clean-URL index is the compliant AND better path. Detail pages carry labeled fields (Eligibility, FON, Assistance Listing, Closing Date). Eligibility facet vocabulary includes ""Native American Tribal Orgs, not Federally recognized Tribal Governments"" — reusable for tagging. [research lane: Research funding]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-TRIBAL-COLLEGES-RE-DEB1E1,USDA NIFA Tribal Colleges Research Grants Program (TCRGP),funding opportunity,USDA,NIFA,national,federal,,https://www.nifa.usda.gov/grants/funding-opportunities/tribal-colleges-research-grants-program,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,exclusive,tribal-college-or-BIE-school,yes (1994 Land-grant Institutions),appears excluded,likely-allowable,TCRGP FY26; ALN 10.227; FON USDA-NIFA-TCRGP-011697,"VERIFIED: posted 2026-04-22, closes 2026-12-31; annual. NIFA warns ""Dates may vary - see NOFO""",per cycle; page updated 2026-04-22,HTML (highly structured) + PDF NOFO,no,yes (GovDelivery USDANIFA),no,"BEST-STRUCTURED SOURCE IN SCOPE: emits ALN, FON, dates, $11,574,000 total, $150K-$2.5M range, No Match, Grants.gov deeplink 362029. NOFO solicits AI/data science/digital tools [research lane: USDA/HUD/Commerce]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-TRIBAL-PROGRAMS-8F4CAD,USDA NIFA Tribal Programs,program-page,USDA,NIFA,federal,federal,,https://www.nifa.usda.gov/grants/programs/nifa-tribal-programs,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,high,tribal-college,YES,no,sometimes-allowable-depends-on-NOFO,"TCRGP Phase II Sep 11 2026, Phase III Dec 31 2026",multi-phase,active,HTML,no,yes,no,"CRITICAL: the ""Upcoming Program Events"" block on program pages is the ONLY place TCRGP's phased deadlines appear. Two applicant models must not be conflated: for the four 1994 programs the tribal COLLEGE applies and a Tribe cannot; for NBTS/FRTEP an 1862/1890 university applies and Tribes are beneficiaries. TCRGP requires a signed collaboration agreement with an 1862/1890, ARS, NLGCA, or McIntire-Stennis partner. [research lane: Research funding]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-NIFA-TRIBAL-PROGRAMS-HU-43CE05,USDA NIFA Tribal Programs Hub,program hub,USDA,NIFA,national,federal,,https://www.nifa.usda.gov/grants/programs/nifa-tribal-programs,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,exclusive,tribal-college-or-BIE-school;federally-recognized-tribe;state-or-local-govt-serving-natives;consortium-with-tribal-partner,yes (1994 institutions),appears excluded,likely-allowable,NBTS;TCEP-CA;TCEP-SE;TCEG;TCRGP;FRTEP;Tribal College Endowment,varies by program,updated 2025-11-18,HTML,no,yes (GovDelivery USDANIFA),no,Enumerates all 6 tribal programs w/ URLs in one page. Also hosts 1994 Land-grant Directory + FRTEP Directory = entity reference data for your Tribe/TCU registry [research lane: USDA/HUD/Commerce],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-ALL-PROGRAMS-DIRECTO-43D843,USDA RD All Programs Directory,program directory,USDA,Rural Development,national,federal,,https://www.rd.usda.gov/programs-services/all-programs,search endpoint monitor,low,TERMS_REVIEW_REQUIRED,medium,federally-recognized-tribe;tribal-government;tribal-organization;native-owned-business;native-nonprofit;tribal-college-or-BIE-school,varies,varies,unclear,RBDG;RCDI;DLT;Rural Decentralized Water;Native CDFI Relending,n/a - directory,monthly,HTML,no,yes (GovDelivery),no,"6 pages, clean ?page=0..5 pagination. Server-side filters: State, Program Area (8 values), Keyword. Ideal structured crawl target [research lane: USDA/HUD/Commerce]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-FEDERAL-FUNDING-OPPO-9761D9,USDA RD Federal Funding Opportunities,funding index,USDA,Rural Development,national,federal,,https://www.rd.usda.gov/newsroom/federal-funding-opportunities,static HTML page monitor,medium,TERMS_REVIEW_REQUIRED,medium,federally-recognized-tribe;tribal-government;tribal-organization;native-owned-business;native-nonprofit,varies,varies,unclear,RD NOFAs across all program areas,varies by program,weekly-ish,HTML,no,yes (GovDelivery USDARD),no,Fetched OK (63KB) but item list NOT parsed within budget - contents/schema UNVERIFIED. Canonical RD funding index; Tier 1 by role [research lane: USDA/HUD/Commerce],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD-TRIBAL-GOVDELIVERY-T-B85B07,USDA RD Tribal GovDelivery (Tribal Updates),email bulletin,USDA,Rural Development,national,federal,,https://public.govdelivery.com/accounts/USDARD/subscriber/new?category_id=USDARD_C148,email bulletin/manual intake,low,TERMS_REVIEW_REQUIRED,exclusive,federally-recognized-tribe;tribal-government;tribal-organization,UNKNOWN,UNKNOWN,unclear,RD tribal program announcements,n/a,as issued,email,no,yes,signup required,PRECISE tribal-only channel (category_id USDARD_C148). URL verified on RD tribal page; not fetched [research lane: USDA/HUD/Commerce],Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;requires_login:signup required;monitoring_not_started
USDA-RD-TRIBAL-RELATIONS-E1F93D,USDA RD Tribal Relations,tribal landing page,USDA,Rural Development,national,federal,,https://www.rd.usda.gov/about-rd/tribal-relations,static HTML page monitor,low,TERMS_REVIEW_REQUIRED,exclusive,federally-recognized-tribe;tribal-government;tribal-organization;native-owned-business;tribal-college-or-BIE-school;native-individual,mostly yes,UNKNOWN,unclear,Tribal College Initiative;Water&Waste Tribal Lands;Native Alaskan Villages;Native CDFI Relending;IRP;RBDG;ReConnect,n/a - hub,modified 2025-12-08,HTML,no,YES - dedicated tribal GovDelivery USDARD_C148,no,"Pre-built Native relevance map for RD. Sub-pages: /tribal-relations-events, /tribal-relations-technical-assistance. Links BIA Access to Capital Clearinghouse [research lane: USDA/HUD/Commerce]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
USDA-RD,USDA Rural Development Funding,agency_grant_page,USDA,Rural Development,United States,federal,,https://www.rd.usda.gov/programs-services/all-programs,static HTML page monitor,medium,OK,High,Tribes; tribal orgs; nonprofits; local governments; businesses; program controls,Varies,Varies,Sometimes allowable depending on NOFO/budget category,Community Facilities; ReConnect; DLT; water,Recurring,Weekly,HTML/PDF,No,Yes,No,[research lane: seed-v1],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
WIOA-SECTION-166-INA-PROGRAM-FCAFB6,WIOA Section 166 INA Programs (FOA-ETA-26-20),grant program,DOL,ETA / DINAP + Office of Grants Management,federal,federal,,https://www.dol.gov/sites/dolgov/files/ETA/grants/2026%20PDFs/FOA-ETA-26-20.pdf,PDF/NOFO page monitor,low,OK,very high,federally-recognized-tribe;tribal-government;tribal-organization;native-nonprofit;native-serving-nonprofit,UNKNOWN,UNKNOWN,unclear,Comprehensive Services (adults); Supplemental Youth Services,"multi-year designation; PY26 cycle issued 2026-04-02, closed 2026-05-22",multi-year (per designation period),PDF,no,no,no,"TWO SEPARATE GRANTS.GOV POSTINGS - applicants must choose correctly: FOA-ETA-26-20-IA (Comprehensive Services, adults, grants.gov 361739) and FOA-ETA-26-20-IY (Supplemental Youth, grants.gov 361740). Uses: ""employment, financial assistance for education and training, and other supportive services."" Software allowability unclear - not addressed in page text; FOA PDF needs review. [research lane: DOJ/DHS/ED/DOL/SBA]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,federal_all_customers,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
BUSH-FOUNDATION-COMMUNITY-IN-6BF0E6,Bush Foundation Community Innovation grants and PRIs,"regional private foundation, open application",Bush Foundation,Community Innovation,"MN, ND, SD and the 23 Native nations sharing that geography",private,,https://www.bushfoundation.org/opportunities/community-innovation/,static HTML page monitor,low,OK,high - named Native commitment,"tribal-government, tribal-organization, native-nonprofit, native-serving-nonprofit, consortium-with-tribal-partner",no,UNKNOWN,likely-allowable - flexible and uncapped,Community Innovation grants and program-related investments,OPEN YEAR-ROUND,continuous,HTML,no,newsletter,no,"Verbatim: flex funding options with no caps on amounts or duration of funding. Accepts unsolicited applications, and pre-contact is encouraged. Opportunity pages carry explicit APPLICATION STATUS strings - a clean low-effort scrape target. Does not reach SC [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,private_unscoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
FIRST-NATIONS-DEVELOPMENT-IN-FD2A9C,First Nations Development Institute Grantmaking,native-led private foundation and intermediary regrantor,First Nations Development Institute,Grantmaking,"national (46 states, DC, American Samoa, Guam)",private,,https://www.firstnations.org/grantmaking/,static HTML page monitor,low,OK,very high - Native-only funder,"federally-recognized-tribe, state-recognized-tribe, tribal-government, tribal-organization, native-nonprofit, native-individual",no,YES explicitly,sometimes-allowable-depends-on-NOFO,"Native Agriculture and Food Systems Investments; Native Arts, Language and Knowledge; Stewarding Native Lands; California Tribal Fund; Research and Advocacy for Native Economic Justice","episodic RFPs, no fixed calendar verified - do not assume dates",irregular,HTML,UNKNOWN,email mailing list (footer form); no RSS verified,no for listings; Fluxx login to apply,"THE eligibility template for NativeForge's data model: 501(c)(3) is NOT required and the eligibility page enumerates non-501(c)(3) pathways explicitly - federally AND state-recognized tribal governments including tribal departments, Native-controlled 501(c)(3)s, Native 7871 organizations, and fiscally-sponsored Native community organizations. 4,405 grants and $110.6M+ through year-end 2025. Both the organization and individual funding pages showed ZERO open opportunities on 2026-08-26: the monitor must detect the empty-to-populated transition [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,private_unscoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,requires_login:no for listings; Fluxx login to apply;monitoring_not_started
NATIVE-AMERICANS-IN-PHILANTH-34379B,Native Americans in Philanthropy Grantwatch,curated third-party opportunity aggregator,Native Americans in Philanthropy,Resources / Grants,national,private,,https://nativephilanthropy.org/grants,static HTML page monitor,"medium - HubSpot, JS filters, Load More paging",TERMS_REVIEW_REQUIRED,very high - Native relevance is pre-filtered,varies by listed funder; the aggregator is not itself the funder,varies,varies,varies by listing,"Power of Ceremony and Healing Grant ($500-$2,500, due Aug 27 2026); Social Justice Fund Northwest 2026 Open Grants ($1,000-$25,000, due Nov 30 2026)","rolling, per-listing deadlines published",frequent,"HTML (HubSpot CMS), stable numeric per-grant URLs",no public API found,NAP Journal email newsletter,no,"The highest-leverage aggregation target in the philanthropic lane, and notably FRESHER than some funders' own sites - it carried a live Potlatch-affiliated deadline while Potlatch's own page showed 2023 content. But submitting to the feed is a MEMBER BENEFIT, so scraping is a terms and permission conversation, ideally a partnership, not an engineering decision [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,private_unscoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
ADVANCE-SC-NATIVE-AMERICAN-A-2D8EF3,Advance SC Native American Affairs,agency program page,SC Commission for Community Advancement and Engagement,Community Engagement,SC statewide,state,SC,https://advance.sc.gov/community-engagement/native-american-affairs,static HTML page monitor,low,OK,high - cites statutory recognition authority and lists the Advisory Committee,n/a,no,yes,n/a,state recognition function; Advisory Committee per Regs Ch 139 Art 2 Sec 139-202,none,low,HTML,no,no,no,Cites SC Code 1-31-40(A)(6)(10) and Code of Regulations Ch 139. The Advisory Committee membership is BROADER than the recognized list (it includes Lower Eastern Cherokee Nation of SC and Pee Dee Indian Tribe of Beaver Creek plus institutional members) - do not conflate the two. The recognition APPLICATION process is not published anywhere findable: mark UNKNOWN and contact info@advance.sc.gov [research lane: DOI/HHS + SC + philanthropy],Tier 1,seed_imported,not_started,NO_REVIEW_REQUIRED,state_scoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,monitoring_not_started
CATAWBA-NATION-A16252,Catawba Nation,federally recognized tribe,Catawba Nation,n/a,"Catawba Nation, South Carolina",state,SC,https://www.catawba.com/,static HTML page monitor,UNKNOWN - not fetched,TERMS_REVIEW_REQUIRED,critical - the only federally recognized Tribe resident in SC,federally-recognized-tribe,yes,n/a,UNKNOWN,full federal tribal eligibility,n/a,UNKNOWN,HTML,UNKNOWN,UNKNOWN,no,"Chief Brian Harris, 996 Avenue of the Nations, Rock Hill SC 29730. Also uses catawbaindian.net (email domain only) and catawbaindiancrafts.com for the THPO page (THPO Wenonah G. Haire). NOTE Rock Hill is a CDBG entitlement city, so it is excluded from the SC state small-cities CDBG program [research lane: DOI/HHS + SC + philanthropy]",Tier 1,seed_imported,not_started,TERMS_REVIEW_REQUIRED,state_scoped,NOT_DETERMINED_BY_REGISTRY,NOT_DETERMINED_BY_REGISTRY,robots_or_terms_risk:TERMS_REVIEW_REQUIRED;monitoring_not_started
